,id,type,nom,arrondissement,geo_point_2d
3071,28011,bus,Saint-Marcel - Jeanne d'Arc,5,"48.838726258168954, 2.356986088910903"
3072,28010,bus,Navarin,9,"48.880168663732285, 2.3372756444484657"
3073,28254,bus,Ternes,8,"48.877537931466755, 2.298572535612715"
3074,26293,bus,Rue du Bac - René Char,7,"48.85624792491649, 2.3263221433692465"
3075,26355,bus,Cluny,5,"48.850101454479905, 2.3434225241409785"
3076,26729,bus,Lagrange,5,"48.85186235419189, 2.3480202563454573"
3082,22008,metro,Bréguet-Sabin,11,"48.85624405467265, 2.3701946685897517"
3083,22002,metro,Richard-Lenoir,11,"48.85987693785504, 2.371813630476951"
3084,22003,metro,Porte de Pantin,19,"48.88853533758658, 2.39206071434193"
3085,22006,metro,Place d'Italie,13,"48.83096622707041, 2.3555969433697497"
3086,22007,metro,Gare du Nord,10,"48.87970181694532, 2.3572164888604563"
3087,22124,metro,Avron,20,"48.85164854358347, 2.398187556659397"
3089,22104,metro,Château de Vincennes,12,"48.84431751429987, 2.4405400954061136"
3091,22075,metro,Tuileries,1,"48.86455016356337, 2.3297453212172794"
3092,22057,metro,Concorde,8,"48.8661500348123, 2.323181449571859"
3093,22059,metro,Abbesses,18,"48.88438357460971, 2.338367478180517"
3095,22032,metro,Europe,8,"48.87878075963613, 2.322294641649836"
3096,22045,metro,Solférino,7,"48.85855008962809, 2.3231029882985132"
3097,22042,metro,Porte de Versailles,15,"48.83230151438074, 2.2881329450932193"
3098,22012,metro,Laumière,19,"48.88513384807222, 2.3793909893523923"
3100,24685,metro,Bolivar,19,"48.88078966296145, 2.3741248711875413"
3101,24681,metro,Louis Blanc,10,"48.88120621181238, 2.3644248624936774"
3103,22225,metro,Liège,8,"48.87953493736213, 2.3268526712397555"
3104,22202,metro,Chemin Vert,11,"48.85710602287842, 2.368221612765033"
3105,22205,metro,Montgallet,12,"48.8440641552688, 2.3905219564249194"
3106,22195,metro,Opéra,2,"48.87059812247306, 2.3321350729252934"
3107,22176,metro,Cambronne,15,"48.84754311217983, 2.3029417283376117"
3108,22174,metro,Chevaleret,13,"48.834963082095456, 2.3680812829727427"
3109,22188,metro,Boucicaut,15,"48.84102416097952, 2.287918431124559"
3110,22180,metro,Boissière,16,"48.86684834340366, 2.290032837607437"
3111,22182,metro,Dugommier,12,"48.83895109403165, 2.3896007705991944"
3112,22153,metro,Château d'Eau,10,"48.87244691758188, 2.356051741401586"
3113,22168,metro,Place d'Italie,13,"48.83091498286122, 2.3561016127215275"
3114,22163,metro,Sèvres-Lecourbe,15,"48.845584370203866, 2.3094677673863235"
3115,22145,metro,Odéon,6,"48.85210334036726, 2.3394860203178958"
3116,22146,metro,Les Halles,1,"48.86252665961504, 2.3460057365633094"
3117,22149,metro,Gare du Nord,10,"48.879510553117, 2.356768884572096"
3118,22364,metro,Châtelet,4,"48.85695346077166, 2.348160991234577"
3120,22392,metro,Crimée,19,"48.89088575891521, 2.37693573698238"
3121,22375,metro,Pyramides,1,"48.865880289900474, 2.334417535966555"
3122,22380,metro,Porte d'Italie,13,"48.819034286073844, 2.359462523882543"
3123,463081,metro,Madeleine,8,"48.870032940890326, 2.3251699290341925"
3124,463089,metro,Pigalle,9,"48.88202093205372, 2.337211164701128"
3125,463059,metro,Oberkampf,11,"48.86464456515162, 2.368604562580775"
3126,463065,metro,Jules Joffrin,18,"48.892492268188356, 2.3443200293804827"
3127,463066,metro,Liège,8,"48.879710826925724, 2.326945027438755"
3128,463074,metro,Jaurès,19,"48.88232631646436, 2.3704655865814304"
3132,463032,metro,Stalingrad,10,"48.8841445128813, 2.367348121277192"
3133,463008,metro,Stalingrad,19,"48.88437303054766, 2.368898549057673"
3134,463306,metro,Saint-Michel,6,"48.85359407755442, 2.3439917990332875"
3135,463307,metro,Saint-Paul (Le Marais),4,"48.85527781666767, 2.3609713728017505"
3136,463199,metro,Invalides,7,"48.8605994538295, 2.3149969384161326"
3137,21982,metro,Mirabeau,16,"48.8470775073323, 2.273064126372833"
3138,463184,metro,Gaîté,14,"48.83852608500882, 2.3223539967788063"
3139,463183,metro,Gare du Nord,10,"48.879591707396514, 2.356808788205409"
3140,21995,metro,Jourdain,19,"48.87524734862779, 2.3893253789100957"
3141,21990,metro,Hôtel de Ville,4,"48.85757442236626, 2.3515469856154696"
3144,463190,metro,Iéna,16,"48.86478002224381, 2.2938642256822708"
3145,463155,metro,Crimée,19,"48.89081434560806, 2.377038060001992"
3146,21964,metro,Saint-Lazare,9,"48.875689121940304, 2.32744775001932"
3147,463158,metro,Châtelet,1,"48.85971581984321, 2.3467600097151675"
3148,463164,metro,Concorde,8,"48.86618081580806, 2.3230583629029056"
3149,21970,metro,Duroc,7,"48.84675637807408, 2.3162247549746047"
3150,21979,metro,Ségur,7,"48.84722639004028, 2.3072520746428715"
3151,463143,metro,Charonne,11,"48.85493944343483, 2.384782396448888"
3152,463146,metro,Chemin Vert,3,"48.85708736780661, 2.368095085385991"
3153,463151,metro,Concorde,8,"48.86656106313899, 2.3219151528497886"
3154,463150,metro,Concorde,8,"48.86655799293607, 2.3229614457982586"
3155,463120,metro,Anvers,9,"48.882868568830325, 2.344154840330291"
3156,463121,metro,Argentine,17,"48.87566737658609, 2.2894354185422134"
3160,21925,metro,Oberkampf,11,"48.86477709850769, 2.368155845394551"
3161,21928,metro,Jasmin,16,"48.852462147830884, 2.268219083521012"
3162,21902,metro,République,3,"48.86712186123135, 2.364283168306328"
3163,21915,metro,Ranelagh,16,"48.8553062148734, 2.2700326975618985"
3164,21910,metro,Saint-Ambroise,11,"48.861416657895504, 2.3738805382115475"
3165,463283,metro,Pyramides,1,"48.86583012817631, 2.33429208315197"
3166,463281,metro,Porte de la Chapelle,18,"48.897410641634764, 2.3591038573001977"
3167,463287,metro,Pyrénées,20,"48.873818790166936, 2.385202915569531"
3168,463295,metro,Riquet,19,"48.88815726205219, 2.3736694647431955"
3169,463290,metro,Ranelagh,16,"48.855503558381976, 2.2699481579346346"
3170,463259,metro,Porte de Saint-Cloud,16,"48.837997282860094, 2.256789496420714"
3171,463254,metro,Place des Fêtes,19,"48.87672366195963, 2.3931393703604966"
3172,463255,metro,Poissonnière,9,"48.87707970749693, 2.348793991284639"
3173,463257,metro,Porte Maillot,16,"48.87780565042437, 2.2822896139411903"
3174,463266,metro,Ternes,17,"48.87822773084878, 2.2981132886172433"
3175,463267,metro,Tolbiac,13,"48.82615323732968, 2.3570185677381614"
3177,463234,metro,Porte d'Auteuil,16,"48.84790412361554, 2.2582807445955364"
3178,463252,metro,Place de Clichy,18,"48.8837451967662, 2.3278987090661456"
3179,463216,metro,Les Gobelins,13,"48.83589170667656, 2.352531165362204"
3180,463230,metro,Philippe Auguste,11,"48.85808942812209, 2.3904975967452886"
3181,462988,metro,Villiers,8,"48.88121227336478, 2.3157614492393392"
3182,462989,metro,Quatre Septembre,2,"48.8696590973706, 2.3363187355954875"
3183,462999,metro,Laumière,19,"48.885200886876724, 2.3793117790180993"
3184,462962,metro,République,3,"48.867421610013416, 2.3631494069003818"
3185,462963,metro,République,3,"48.8675123577975, 2.3633023407804536"
3186,462978,metro,Brochant,17,"48.89065187117646, 2.319904817209366"
3187,462947,metro,Pasteur,15,"48.842823668796626, 2.3126518981045816"
3188,463284,metro,Pyramides,1,"48.86580563191872, 2.3347388358754153"
3189,462997,metro,Gambetta,20,"48.86503256445036, 2.398537305704572"
3193,26763,bus,Saint-Georges - Châteaudun,9,"48.87600201539065, 2.3367832860981057"
3194,28631,bus,Gare Saint-Lazare - Budapest,9,"48.875697578456396, 2.3273522004021783"
3195,21960,metro,Pyramides,1,"48.86575552736311, 2.334623606004923"
3196,480541,metro,Porte de Clichy,17,"48.89428867783784, 2.313431869544054"
3197,480340,metro,Pont Cardinet,17,"48.888103403629366, 2.3153681405051527"
3198,24403,tram,Porte de Pantin - Parc de la Villette,19,"48.88902983006168, 2.395587116456805"
3199,24394,tram,Marie de Miribel,20,"48.85865740490621, 2.4096101336179307"
3200,24418,tram,Hôpital Robert Debré,19,"48.879453009308236, 2.401152353040996"
3212,36910,bus,Brancion,15,"48.827563757228894, 2.3006615910456203"
3217,24422,tram,Adrienne Bolland,20,"48.87241187463945, 2.4085135294768047"
3218,24421,tram,Adrienne Bolland,20,"48.87179244692654, 2.4087386948185117"
3229,36908,bus,Parc Georges Brassens,15,"48.82911736348959, 2.2956686442223537"
3254,33390,bus,Porte de Plaisance,15,"48.83011318681656, 2.2952465157037345"
3344,471073,rail,Paris Gare de Lyon,12,"48.84379095778757, 2.374187672114208"
3346,471119,rail,Rosa Parks,19,"48.896374238229235, 2.373992077276676"
3357,472036,rail,Magenta,10,"48.88070936654644, 2.358949411544883"
3358,472124,rail,Magenta,10,"48.88079768714824, 2.3586483403889598"
3362,36931,bus,Maison des Associations,15,"48.83279495958694, 2.293997796706421"
3369,41208,rail,Invalides,7,"48.86276314920594, 2.312775945557184"
3370,411230,rail,Pereire Levallois,17,"48.88594545169173, 2.2991234103790337"
3373,471322,rail,Châtelet les Halles,1,"48.861713817186036, 2.347024608997571"
3374,471719,rail,Châtelet les Halles,1,"48.86180263009255, 2.346819035639148"
3375,472764,rail,Châtelet les Halles,1,"48.86182106212907, 2.3469005886608914"
3379,412818,rail,Port Royal,5,"48.84003441656308, 2.3371374177847355"
3394,471859,rail,Neuilly Porte Maillot,17,"48.878694393348354, 2.2857807934746095"
3423,41209,rail,Pont de l'Alma,7,"48.86259737848299, 2.3012327197386164"
3424,471310,rail,Pont Cardinet,17,"48.888440446738954, 2.3129771111648143"
3425,472138,rail,Pont Cardinet,17,"48.88862131594566, 2.3131520154854224"
3426,470793,rail,Pont Cardinet,17,"48.888576118227775, 2.313111698468068"
3439,470744,rail,Javel,15,"48.847134848390596, 2.2780780447795834"
3461,471335,rail,Paris Austerlitz,13,"48.84041741629972, 2.3688735323231365"
3462,471473,rail,Paris Austerlitz,13,"48.84006452018209, 2.366765935694646"
3463,471167,rail,Paris Austerlitz,13,"48.84048870781527, 2.3670469086984687"
3464,471077,rail,Paris Austerlitz,13,"48.84013761834116, 2.3669830473897067"
3465,471592,rail,Paris Austerlitz,13,"48.84043288563015, 2.3683964678438"
3466,471646,rail,Paris Austerlitz,13,"48.84017416727114, 2.367091603465602"
3467,472724,rail,Paris Austerlitz,13,"48.84043216620264, 2.3682602259421297"
3468,472718,rail,Paris Austerlitz,13,"48.84008315531252, 2.3668883340451226"
3469,472570,rail,Paris Austerlitz,13,"48.84032935504593, 2.3675257201623703"
3470,472959,rail,Paris Austerlitz,13,"48.84031079261909, 2.367416945162925"
3471,471272,rail,Haussmann Saint-Lazare,9,"48.875210554754965, 2.3287082776587185"
3472,472523,rail,Paris Est,10,"48.87867126827182, 2.361265191200826"
3473,472338,rail,Paris Est,10,"48.878636315602314, 2.36145651079957"
3474,470704,rail,Paris Est,10,"48.87848016499018, 2.3608448491665075"
3475,471856,rail,Paris Est,10,"48.87878973850908, 2.3598729572793444"
3476,471607,rail,Paris Est,10,"48.878787550713874, 2.359463930928574"
3477,471696,rail,Paris Est,10,"48.87863999542965, 2.3604611057467375"
3478,471022,rail,Paris Gare du Nord,10,"48.88248041848133, 2.3571549201947963"
3479,471936,rail,Paris Gare du Nord,10,"48.882501916295126, 2.357809186833326"
3480,472356,rail,Paris Gare du Nord,10,"48.88251025069095, 2.3576863592870128"
3481,472034,rail,Paris Gare du Nord,10,"48.882196955974706, 2.356285715006542"
3482,470821,rail,Paris Gare du Nord,10,"48.88237108695754, 2.3552199505430416"
3483,472577,rail,Paris Gare de Lyon,12,"48.843107249257784, 2.3758718493845956"
3484,470915,rail,Paris Gare de Lyon,12,"48.84335148259851, 2.3761414408778956"
3485,41203,rail,Gare Montparnasse,15,"48.839212172972836, 2.3180581659077997"
3486,472888,rail,Paris Montparnasse,15,"48.836896574893125, 2.314174224760206"
3487,472624,rail,Paris Montparnasse,15,"48.83932346267805, 2.3170716335270702"
3488,472325,rail,Paris Montparnasse,15,"48.83931485854864, 2.3171398704813844"
3489,471299,rail,Paris Montparnasse,14,"48.83864807421824, 2.3184974482792775"
3490,471733,rail,Paris Montparnasse,14,"48.83875451541407, 2.318237187337713"
3491,471521,rail,Paris Montparnasse,14,"48.83869257357542, 2.318415118371598"
3517,470620,rail,Avenue Foch,16,"48.86983273719863, 2.274791501122145"
3523,41295,rail,Avenue du Président Kennedy,16,"48.85353889139849, 2.279665638874982"
3612,472546,rail,Paris Saint-Lazare,8,"48.87725940219735, 2.3236233751454374"
3626,472208,rail,Paris Saint-Lazare,8,"48.87725924813097, 2.3235961076265617"
