,coord_x,coord_y,valeur,qualif,val_no2,val_pm10,val_o3,val_so2,val_pm25
348,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
349,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
350,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
351,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
352,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
353,652080,6862620,4,Bon,1.0,4.0,3.0,1.0,0
354,652080,6862620,4,Bon,3.0,4.0,3.0,1.0,0
355,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
356,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
357,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
358,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
359,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
360,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
361,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
362,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
363,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
364,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
365,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
366,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
367,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
368,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
369,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
370,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
371,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
372,652080,6862620,3,Bon,1.0,3.0,3.0,1.0,0
373,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
374,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
375,652080,6862620,4,Bon,3.0,4.0,2.0,1.0,0
376,652080,6862620,4,Bon,3.0,4.0,3.0,1.0,0
377,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
378,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
379,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
380,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
381,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
382,652080,6862620,2,Très bon,2.0,1.0,2.0,1.0,0
383,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
384,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
385,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
386,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
387,652080,6862620,7,Médiocre,2.0,7.0,2.0,1.0,0
388,652080,6862620,8,Mauvais,3.0,8.0,1.0,1.0,0
389,652080,6862620,8,Mauvais,2.0,8.0,1.0,1.0,0
390,652080,6862620,4,Bon,2.0,4.0,2.0,1.0,0
391,652080,6862620,6,Médiocre,3.0,6.0,1.0,1.0,0
392,652080,6862620,5,Moyen,3.0,5.0,2.0,1.0,0
393,652080,6862620,4,Bon,3.0,4.0,2.0,1.0,0
394,652080,6862620,4,Bon,2.0,4.0,3.0,1.0,0
395,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
396,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
397,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
398,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
399,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
400,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
401,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
402,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
403,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
404,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
405,652080,6862620,2,Très bon,2.0,2.0,2.0,1.0,0
406,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
407,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
408,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
409,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
410,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
411,652080,6862620,3,Bon,2.0,3.0,2.0,1.0,0
412,652080,6862620,4,Bon,2.0,4.0,1.0,1.0,0
