,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
3455,2002605,12,2014,13,"48.84960379009135, 2.3801876660499715"
3456,2002630,20,2014,4,"48.8607513295783, 2.4025785643920816"
3457,2002652,18,2014,4,"48.88827213021018, 2.350189036533639"
3458,2002654,10,2014,9,"48.87251709996564, 2.3562802841517643"
3459,2002656,20,2014,1,"48.867724909998785, 2.383698656996371"
3460,2003463,15,2014,1,"48.837284889693485, 2.292170162290169"
3461,2002684,10,2015,1,"48.88078700963211, 2.363060252647732"
3464,2002753,13,2015,74,"48.8304553503416, 2.373403944600313"
3465,2002777,11,2015,29,"48.85166688994822, 2.377007101570546"
3468,2002825,13,2015,15,"48.8185059701199, 2.3642474824073467"
3469,2002876,14,2015,13,"48.835310609933096, 2.3272099813785565"
3472,2002915,16,2016,18,"48.869379440348055, 2.2810776903356142"
3473,2002929,20,2016,9,"48.87154228964155, 2.3949548434280374"
3474,2002946,12,2016,47,"48.83921921973029, 2.3955029350382486"
3475,2002958,18,2016,14,"48.8850041901185, 2.3566574970890506"
3476,2002974,3,2016,19,"48.86397553000229, 2.3652102624992484"
3477,2003011,2,2016,2,"48.86802666970609, 2.348500609336836"
3478,2003060,12,2017,10,"48.83940418996515, 2.400569879222962"
3479,2003095,18,2017,10,"48.897549599570304, 2.337798017226116"
3481,2003128,9,2017,15,"48.87965910031307, 2.346997009971751"
3482,2003162,7,2017,251,"48.85960709996698, 2.321835105123786"
3483,2003184,14,2017,100,"48.82559357015638, 2.3020839535792454"
3484,2003212,4,2017,1,"48.854761750051274, 2.3551972123726497"
3485,2003214,4,2017,1,"48.853826219936046, 2.361927870352719"
3486,2003217,6,2017,1,"48.85685748983944, 2.3364757363328343"
3487,2003223,6,2017,2,"48.85522234008982, 2.3345881480495945"
3488,2003230,6,2017,8,"48.856293150016135, 2.335952622344925"
3489,2003231,6,2017,3,"48.85720197973348, 2.336414950443041"
3491,2003254,15,2017,12,"48.85012809031117, 2.288685073373229"
3492,2003280,10,2018,2,"48.88140036005609, 2.365713815455094"
3493,2003292,18,2018,1,"48.88599808990946, 2.349772794457288"
3495,2003499,10,2019,13,"48.87247924967633, 2.348161040597331"
3498,2003514,13,2019,36,"48.81784254982901, 2.3579890914969006"
3499,2003533,17,2019,1,"48.884247920242764, 2.3163011174933845"
3500,2003538,17,2019,4,"48.881652509969726, 2.296244985244981"
3502,2003619,11,2020,6,"48.85673460014667, 2.3843459014264474"
3503,2003621,14,2020,1,"48.833100340149606, 2.316668910638195"
3504,2003646,20,2020,7,"48.871117480245765, 2.3963070505718265"
3506,2003651,20,2020,7,"48.85213226008897, 2.402400841498083"
3507,2003695,13,2020,1,"48.822051129731285, 2.3550812195801725"
3508,2003709,11,2020,22,"48.8653386803787, 2.384349861564124"
3509,2003726,9,2020,16,"48.87571757990052, 2.3411142683344486"
3510,2003731,15,2020,101,"48.83641496010132, 2.3105124790068325"
3511,2003736,17,2020,6,"48.89455366023999, 2.320982255096209"
3513,2003774,12,2021,8,"48.84043666043701, 2.402682540439344"
3514,2003802,14,2021,8,"48.8344242203876, 2.3255483816521116"
3515,2003837,18,2021,222,"48.89427786981478, 2.3615204092658852"
3516,2003810,3,2021,20,"48.86391247015289, 2.3541623315061697"
3517,2003833,17,2021,8,"48.88621367026783, 2.311458704464214"
3518,2003852,13,2021,13,"48.82574702991245, 2.345235994300049"
3519,2003950,11,2021,1,"48.85741216023951, 2.3735056009571682"
3522,CPE40,12,2021,35,"48.83541597010201, 2.3925148105227865"
3523,2003967,17,2022,4,"48.885929909900625, 2.314468566059544"
3524,2003982,5,2022,1,"48.851627679622105, 2.3493763183515575"
3525,2004014,10,2022,16,"48.87222474043929, 2.3609236526485398"
3526,2004015,15,2022,17,"48.8525766497369, 2.2866412490858683"
3531,CPE60,15,2022,51,"48.83912962040777, 2.2759050571379245"
3532,CPE63,18,2022,11,"48.886089300267635, 2.3363222154188206"
3533,CPE68,20,2022,29,"48.8717792801176, 2.3951328671397745"
3534,2004138,10,2023,31,"48.870379090384, 2.3621222452388038"
3535,2004143,18,2023,5,"48.88283169995195, 2.338138252570383"
3536,2004161,19,2023,1,"48.874784609784115, 2.380696566982556"
3537,2004207,10,2024,17,"48.87045647000826, 2.3705208233811246"
3538,2004213,18,2024,12,"48.89335467027969, 2.3376390663955635"
3539,2004215,2,2024,18,"48.86405498962009, 2.350350682673688"
3540,2004226,18,2024,5,"48.88500766023199, 2.3340618374230817"
3541,2004232,12,2024,154,"48.842487750396934, 2.4049810576505313"
3543,2004272,20,2024,16,"48.86785685018934, 2.4019299886724834"
3544,2000045,15,2001,20,"48.844269419969564, 2.3172719185932746"
3545,2000052,14,2001,192,"48.832558709631236, 2.313483783635512"
3546,2000081,19,2001,1,"48.88421618975864, 2.383849674478485"
3547,2000094,13,2002,34,"48.82041141009994, 2.3461396224018873"
3548,2000106,18,2002,56,"48.88502941970354, 2.3603515702616655"
